INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
287498826,05/25/2024,22:50:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,995310,186793,40.679375,-73.960124,POINT (-73.960124 40.679375)
287262614,05/21/2024,12:25:00,BROOKLYN,OUTSIDE,70,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,999225,169441,40.631743,-73.946049,POINT (-73.946049 40.631743)
288434051,06/12/2024,22:20:00,BROOKLYN,OUTSIDE,76,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,45-64,M,BLACK,987086,188344,40.683637,-73.989774,POINT (-73.989774 40.683637)
281865458,02/07/2024,19:16:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,18-24,M,BLACK,18-24,M,BLACK,997144,230833,40.800251,-73.953426,POINT (-73.953426 40.800251)
282899915,02/27/2024,20:20:00,BRONX,OUTSIDE,47,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1024750,268626,40.903897,-73.853488,POINT (-73.853488 40.903897)
287734053,05/30/2024,23:33:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,18-24,M,BLACK,25-44,M,BLACK,999979,176497,40.651108,-73.943313,POINT (-73.943313 40.651108)
282423225,02/18/2024,03:56:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,999508,235734,40.813698,-73.944875,POINT (-73.944875 40.813698)
287141364,05/19/2024,21:55:00,BROOKLYN,OUTSIDE,69,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1013308,176001,40.649714,-73.89528,POINT (-73.89528 40.649714)
280879491,01/21/2024,06:08:00,BRONX,INSIDE,47,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691)
287324018,05/22/2024,22:35:00,BRONX,OUTSIDE,41,0,STREET,(null),N,25-44,M,BLACK,18-24,M,WHITE HISPANIC,1013901,238673,40.821729,-73.892866,POINT (-73.892866 40.821729)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),N,<18,M,BLACK,<18,M,BLACK,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
284584435,03/29/2024,22:00:00,QUEENS,INSIDE,113,0,DWELLING,PVT HOUSE,Y,25-44,M,BLACK,45-64,F,BLACK,1044391,186719,40.678976,-73.78317,POINT (-73.78317 40.678976)
288617787,06/16/2024,23:35:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),N,<18,M,BLACK,45-64,M,WHITE HISPANIC,1006604,254113,40.864128,-73.919179,POINT (-73.919179 40.864128)
280179980,01/08/2024,21:43:00,BRONX,OUTSIDE,47,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1026948,263437,40.889646,-73.845569,POINT (-73.845569 40.889646)
286762896,05/11/2024,22:40:00,BRONX,OUTSIDE,49,0,STREET,(null),Y,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1020797,254600,40.865419,-73.867865,POINT (-73.867865 40.865419)
281250469,01/27/2024,20:40:00,BROOKLYN,INSIDE,71,0,DWELLING,(null),N,25-44,M,BLACK,25-44,M,BLACK,1000996,178613,40.656915,-73.939645,POINT (-73.939645 40.656915)
289111776,06/25/2024,05:12:00,MANHATTAN,OUTSIDE,1,0,STREET,(null),Y,(null),(null),(null),25-44,M,WHITE HISPANIC,983749,202352,40.722088,-74.001806,POINT (-74.001806 40.722088)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
289173175,06/26/2024,18:25:00,BROOKLYN,OUTSIDE,69,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,WHITE HISPANIC,1013835,175981,40.649656,-73.893382,POINT (-73.893382 40.649656)
